hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
       1         1       72  Mesh||MeshStandardMaterial|range-east-hut-material-01|range-east-hut||72|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|range-east-hut-material-02|range-east-hut||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|range-east-hut-material-03|range-east-hut||14|cast|auto
       1         1      140  Mesh||MeshStandardMaterial|range-east-hut-material-04|range-east-hut||140|cast|auto
       1         1      204  Mesh||MeshStandardMaterial|range-east-hut-material-05|range-east-hut||204|cast|auto
       1         1      456  Mesh||MeshStandardMaterial|range-east-hut-material-06|range-east-hut||456|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|range-l-building-material-00|range-l-building||48|cast|auto
       1         1      288  Mesh||MeshStandardMaterial|range-l-building-material-01|range-l-building||288|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|range-l-building-material-02|range-l-building||24|cast|auto
       1         1      720  Mesh||MeshStandardMaterial|range-l-building-material-03|range-l-building||720|cast|auto
       1         1       42  Mesh||MeshStandardMaterial|range-l-building-material-04|range-l-building||42|cast|auto
       1         1      232  Mesh||MeshStandardMaterial|range-l-building-material-05|range-l-building||232|cast|auto
       1         1       34  Mesh||MeshStandardMaterial|range-l-building-material-06|range-l-building||34|cast|auto
       1         1     1608  Mesh||MeshStandardMaterial|range-l-building-material-07|range-l-building||1608|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|range-west-hut-material-00|range-west-hut||24|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|range-west-hut-material-01|range-west-hut||48|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|range-west-hut-material-02|range-west-hut||12|cast|auto
       1         1       16  Mesh||MeshStandardMaterial|range-west-hut-material-03|range-west-hut||16|cast|auto
       1         1      112  Mesh||MeshStandardMaterial|range-west-hut-material-04|range-west-hut||112|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|range-west-hut-material-05|range-west-hut||12|cast|auto
       1         1      312  Mesh||MeshStandardMaterial|range-west-hut-material-06|range-west-hut||312|cast|auto
       1         1      166  Mesh||MeshStandardMaterial|site-camper-fence-material-00|site-camper-fence||166|cast|auto
       1         1     2128  Mesh||MeshStandardMaterial|site-courtyard-fence-material-00|site-courtyard-fence||2128|cast|auto
       1         1       84  Mesh||MeshStandardMaterial|site-courtyard-flags-material-00|site-courtyard-flags||84|cast|auto
       1         1       36  Mesh||MeshStandardMaterial|site-courtyard-flags-material-01|site-courtyard-flags||36||auto
       1         1      108  Mesh||MeshStandardMaterial|site-range-apron-material-00|site-range-apron||108|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|site-range-apron-material-01|site-range-apron||108|cast|auto
       1         1      170  Mesh||MeshStandardMaterial|site-range-apron-material-02|site-range-apron||170||auto
       1         1     1232  Mesh||MeshStandardMaterial|site-range-apron-material-03|site-range-apron||1232||auto
       1         1     1344  Mesh||MeshStandardMaterial|site-range-apron-material-04|site-range-apron||1344|cast|auto
       1         1       44  Mesh||MeshStandardMaterial|site-range-ball-dispenser-material-00|site-range-ball-dispenser||44|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|site-range-ball-dispenser-material-01|site-range-ball-dispenser||24|cast|auto
       1         1     2016  Mesh||MeshStandardMaterial|site-range-east-net-material-00|site-range-east-net||2016|cast|auto
       1         1      144  Mesh||MeshStandardMaterial|site-range-east-net-material-01|site-range-east-net||144||auto
